, AttemptedcopulationAR_v12p4, Backup_AR_v11p6, BodyTurns_v3p1, ChaseAR_new_v10p0, Crabwalk3_AR_v5p0, JumpAr_newfeatures_v6p8, pivot_center_v9p2, Pivot_tail2_v9p1, Righting_AR_v8p6, Stops_AR_new_v6p1, Touch_AR_v2p0, Walk_AR_v10p1, 
EXT_CantonS_1220002_None_Rig1Plate15BowlB_20120225T124658, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, 
EXT_CantonS_1220002_None_Rig1Plate15BowlD_20120225T132551, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, 
EXT_CantonS_1220002_None_Rig2Plate17BowlB_20120225T130636, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, 
EXT_CantonS_1220002_None_Rig2Plate17BowlD_20120225T122653, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, 
EXT_CantonS_1220002_None_Rig1Plate15BowlB_20130617T144620, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, 
EXT_CantonS_1220002_None_Rig1Plate15BowlC_20130617T152038, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, 
EXT_CantonS_1220002_None_Rig2Plate14BowlA_20130617T142339, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, 
EXT_CantonS_1220002_None_Rig2Plate14BowlD_20130617T150122, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, 
EXT_CantonS_1220002_None_Rig1Plate15BowlB_20130615T143911, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, 
EXT_CantonS_1220002_None_Rig1Plate15BowlC_20130615T151025, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, 
EXT_CantonS_1220002_None_Rig2Plate14BowlA_20130615T141827, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, 
EXT_CantonS_1220002_None_Rig2Plate14BowlD_20130615T145937, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, 
, , , , , , , , , , , , , 
EXT_CantonS_1220002_None_Rig1Plate15BowlA_20130615T140015, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, 
EXT_CantonS_1220002_None_Rig1Plate15BowlD_20130615T143757, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, 
EXT_CantonS_1220002_None_Rig2Plate14BowlB_20130615T141828, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, 
EXT_CantonS_1220002_None_Rig2Plate14BowlC_20130615T145940, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, 
EXT_CantonS_1220002_None_Rig1Plate15BowlD_20130617T144501, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, 
EXT_CantonS_1220002_None_Rig2Plate14BowlB_20130617T142340, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, 
EXT_CantonS_1220002_None_Rig2Plate14BowlC_20130617T150123, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, 
EXT_CantonS_1220002_None_Rig1Plate15BowlA_20120225T115604, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, 
EXT_CantonS_1220002_None_Rig1Plate15BowlC_20120225T124654, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, 
EXT_CantonS_1220002_None_Rig2Plate17BowlA_20120225T122555, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, 
EXT_CantonS_1220002_None_Rig2Plate17BowlD_20120225T130737, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, up-to-date, 
